section,team,champion_count,champion_probability,champion_probability_percent,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,round_of_32_probability_percent,round_of_16_probability_percent,quarter_final_probability_percent,semi_final_probability_percent,final_probability_percent,runner_up_count,final_appearance_count,final_appearance_probability,semifinal_count,semifinal_probability
finalists,Australia,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,Croatia,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,England,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,Japan,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,Mexico,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,Netherlands,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,New Zealand,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,Paraguay,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,Poland,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
finalists,Uruguay,0.0,0.0,,,,,,,,,,,,1.0,1.0,0.1,,
semifinalists,Ghana,,,,,,,,,,,,,,,,,4.0,0.4
semifinalists,Costa Rica,,,,,,,,,,,,,,,,,2.0,0.2
semifinalists,Croatia,,,,,,,,,,,,,,,,,2.0,0.2
semifinalists,Denmark,,,,,,,,,,,,,,,,,2.0,0.2
semifinalists,Iran,,,,,,,,,,,,,,,,,2.0,0.2
semifinalists,New Zealand,,,,,,,,,,,,,,,,,2.0,0.2
semifinalists,Peru,,,,,,,,,,,,,,,,,2.0,0.2
semifinalists,Senegal,,,,,,,,,,,,,,,,,2.0,0.2
semifinalists,Argentina,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Australia,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Brazil,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Chile,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Côte d'Ivoire,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Ecuador,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Egypt,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,England,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Germany,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Japan,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Mexico,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Netherlands,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Nigeria,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Paraguay,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Poland,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Portugal,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Scotland,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Spain,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Tunisia,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,United Arab Emirates,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,United States,,,,,,,,,,,,,,,,,1.0,0.1
semifinalists,Uruguay,,,,,,,,,,,,,,,,,1.0,0.1
