player,team,base_player_rating,expected_minutes_share,goals_prior,assists_prior,chance_creation_prior,defensive_actions_prior,goalkeeper_actions_prior,discipline_risk,star_role_score,flair_score,notes,source
TREWIN Kai,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BEHICH Aziz,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
IRANKUNDA Nestory,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BEACH Patrick,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SOUTTAR Harry,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VOLPATO Cristian,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BURGESS Cameron,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
IRVINE Jackson,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VELUPILLAY Nishan,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
OKON-ENGSTLER Paul,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HERRINGTON Lucas,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
YENGI Tete,Australia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SCHLAGER Alexander,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
AFFENGRUBER David,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DANSO Kevin,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SCHLAGER Xaver,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
POSCH Stefan,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SEIWALD Nicolas,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ARNAUTOVIC Marko,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ALABA David,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SABITZER Marcel,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GRILLITSCH Florian,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GREGORITSCH Michael,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WIEGELE Florian,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PENTZ Patrick,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KALAJDZIC Sasa,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LIENHART Philipp,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MWENE Phillip,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CHUKWUEMEKA Carney,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SCHMID Romano,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BAUMGARTNER Christoph,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LAIMER Konrad,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WIMMER Patrick,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PRASS Alexander,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FRIEDL Marco,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WANNER Paul,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SVOBODA Michael,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SCHOEPF Alessandro,Austria,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
COURTOIS Thibaut,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DEBAST Zeno,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
THEATE Arthur,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MECHELE Brandon,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DE CUYPER Maxim,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WITSEL Axel,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DE BRUYNE Kevin,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TIELEMANS Youri,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LUKAKU Romelu,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TROSSARD Leandro,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DOKU Jeremy,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LAMMENS Senne,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PENDERS Mike,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LUKEBAKIO Dodi,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MEUNIER Thomas,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DE WINTER Koni,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DE KETELAERE Charles,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SEYS Joaquin,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MOREIRA Diego,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VANAKEN Hans,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CASTAGNE Timothy,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SAELEMAEKERS Alexis,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RASKIN Nicolas,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ONANA Amadou,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
NGOY Nathan,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FERNANDEZ-PARDO Matias,Belgium,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VASILJ Nikola,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MUJAKIC Nihad,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HADZIKADUNIC Dennis,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MUHAREMOVIC Tarik,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KOLASINAC Sead,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TAHIROVIC Benjamin,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DEDIC Amar,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GIGOVIC Armin,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BAZDAR Samed,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DEMIROVIC Ermedin,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DZEKO Edin,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
JURKAS Mladen,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BASIC Ivan,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SUNJIC Ivan,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MEMIC Amar,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HADZIAHMETOVIC Amir,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BURNIC Dzenis,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KATIC Nikola,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ALAJBEGOVIC Kerim,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BAJRAKTAREVIC Esmir,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RADELJIC Stjepan,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ZLOMISLIC Martin,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TABAKOVIC Haris,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CELIK Nidal,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LUKIC Jovo,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MAHMIC Ermin,Bosnia And Herzegovina,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ALISSON,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
EDERSON SILVA,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GABRIEL MAGALHAES,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MARQUINHOS,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CASEMIRO,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ALEX SANDRO,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VINICIUS JUNIOR,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BRUNO GUIMARAES,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MATHEUS CUNHA,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
NEYMAR JR,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RAPHINHA,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WEVERTON,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DANILO,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BREMER,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LEO PEREIRA,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DOUGLAS SANTOS,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FABINHO,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DANILO SANTOS,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ENDRICK,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LUCAS PAQUETA,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LUIZ HENRIQUE,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GABRIEL MARTINELLI,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
EDERSON,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ROGER IBANEZ,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
IGOR THIAGO,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RAYAN,Brazil,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VOZINHA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
STOPIRA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DINEY BORGES,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PICO LOPES,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LOGAN COSTA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KEVIN PINA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
JOVANE CABRAL,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
JOAO PAULO,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GILSON BENCHIMOL,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
JAMIRO MONTEIRO,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GARRY RODRIGUES,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MARCIO ROSA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SIDNY LOPES CABRAL,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DEROY DUARTE,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LAROS DUARTE,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
